INPUT_TABLE,,,,,,
Variable ID,,,,,,
1,,,,,,
,,,,,,
GCAM_ID,GCAM_region_name,GCAM_AEZ,GCAM_crop,final_above,final_below,Year
1,USA,16,biomass,1,1,2020
2,Canada,16,biomass,1,1,2020
3,Western Europe,16,biomass,1,1,2020
5,Australia_NZ,16,biomass,1,1,2020
6,Former Soviet Union,16,biomass,1,1,2020
7,China,16,biomass,1,1,2020
10,Latin America,16,biomass,1,1,2020
11,Southeast Asia,16,biomass,1,1,2020
12,Eastern Europe,16,biomass,1,1,2020
14,India,16,biomass,1,1,2020
5,Australia_NZ,17,biomass,1,1,2020
7,China,17,biomass,1,1,2020
10,Latin America,17,biomass,1,1,2020
10,Latin America,18,biomass,1,1,2020
5,Australia_NZ,1,Corn,1,1,2020
8,Middle East,1,Corn,1,1,2020
9,Africa,1,Corn,1,1,2020
10,Latin America,1,Corn,1,1,2020
11,Southeast Asia,1,Corn,1,1,2020
14,India,1,Corn,1,1,2020
5,Australia_NZ,2,Corn,1,1,2020
8,Middle East,2,Corn,1,1,2020
9,Africa,2,Corn,1,1,2020
10,Latin America,2,Corn,1,1,2020
14,India,2,Corn,1,1,2020
5,Australia_NZ,3,Corn,1,1,2020
8,Middle East,3,Corn,1,1,2020
9,Africa,3,Corn,1,1,2020
10,Latin America,3,Corn,1,1,2020
11,Southeast Asia,3,Corn,1,1,2020
14,India,3,Corn,1,1,2020
3,Western Europe,4,Corn,1,1,2020
5,Australia_NZ,4,Corn,1,1,2020
7,China,4,Corn,1,1,2020
9,Africa,4,Corn,1,1,2020
10,Latin America,4,Corn,1,1,2020
11,Southeast Asia,4,Corn,1,1,2020
14,India,4,Corn,1,1,2020
5,Australia_NZ,5,Corn,1,1,2020
7,China,5,Corn,1,1,2020
9,Africa,5,Corn,1,1,2020
10,Latin America,5,Corn,1,1,2020
11,Southeast Asia,5,Corn,1,1,2020
14,India,5,Corn,1,1,2020
5,Australia_NZ,6,Corn,1,1,2020
7,China,6,Corn,1,1,2020
9,Africa,6,Corn,1,1,2020
10,Latin America,6,Corn,1,1,2020
11,Southeast Asia,6,Corn,1,1,2020
14,India,6,Corn,1,1,2020
1,USA,7,Corn,1,1,2020
2,Canada,7,Corn,1,1,2020
3,Western Europe,7,Corn,1,1,2020
5,Australia_NZ,7,Corn,1,1,2020
6,Former Soviet Union,7,Corn,1,1,2020
7,China,7,Corn,1,1,2020
8,Middle East,7,Corn,1,1,2020
9,Africa,7,Corn,1,1,2020
10,Latin America,7,Corn,1,1,2020
11,Southeast Asia,7,Corn,1,1,2020
14,India,7,Corn,1,1,2020
1,USA,8,Corn,1,1,2020
2,Canada,8,Corn,1,1,2020
3,Western Europe,8,Corn,1,1,2020
5,Australia_NZ,8,Corn,1,1,2020
6,Former Soviet Union,8,Corn,1,1,2020
7,China,8,Corn,1,1,2020
8,Middle East,8,Corn,1,1,2020
9,Africa,8,Corn,1,1,2020
10,Latin America,8,Corn,1,1,2020
11,Southeast Asia,8,Corn,1,1,2020
12,Eastern Europe,8,Corn,1,1,2020
14,India,8,Corn,1,1,2020
1,USA,9,Corn,1,1,2020
2,Canada,9,Corn,1,1,2020
3,Western Europe,9,Corn,1,1,2020
4,Japan,9,Corn,1,1,2020
5,Australia_NZ,9,Corn,1,1,2020
6,Former Soviet Union,9,Corn,1,1,2020
7,China,9,Corn,1,1,2020
8,Middle East,9,Corn,1,1,2020
9,Africa,9,Corn,1,1,2020
10,Latin America,9,Corn,1,1,2020
11,Southeast Asia,9,Corn,1,1,2020
12,Eastern Europe,9,Corn,1,1,2020
14,India,9,Corn,1,1,2020
1,USA,10,Corn,1,1,2020
2,Canada,10,Corn,1,1,2020
3,Western Europe,10,Corn,1,1,2020
4,Japan,10,Corn,1,1,2020
5,Australia_NZ,10,Corn,1,1,2020
6,Former Soviet Union,10,Corn,1,1,2020
7,China,10,Corn,1,1,2020
8,Middle East,10,Corn,1,1,2020
9,Africa,10,Corn,1,1,2020
10,Latin America,10,Corn,1,1,2020
11,Southeast Asia,10,Corn,1,1,2020
12,Eastern Europe,10,Corn,1,1,2020
13,Korea,10,Corn,1,1,2020
14,India,10,Corn,1,1,2020
1,USA,11,Corn,1,1,2020
2,Canada,11,Corn,1,1,2020
3,Western Europe,11,Corn,1,1,2020
4,Japan,11,Corn,1,1,2020
5,Australia_NZ,11,Corn,1,1,2020
6,Former Soviet Union,11,Corn,1,1,2020
7,China,11,Corn,1,1,2020
9,Africa,11,Corn,1,1,2020
10,Latin America,11,Corn,1,1,2020
11,Southeast Asia,11,Corn,1,1,2020
12,Eastern Europe,11,Corn,1,1,2020
13,Korea,11,Corn,1,1,2020
14,India,11,Corn,1,1,2020
1,USA,12,Corn,1,1,2020
3,Western Europe,12,Corn,1,1,2020
4,Japan,12,Corn,1,1,2020
5,Australia_NZ,12,Corn,1,1,2020
6,Former Soviet Union,12,Corn,1,1,2020
7,China,12,Corn,1,1,2020
9,Africa,12,Corn,1,1,2020
10,Latin America,12,Corn,1,1,2020
11,Southeast Asia,12,Corn,1,1,2020
12,Eastern Europe,12,Corn,1,1,2020
14,India,12,Corn,1,1,2020
1,USA,13,Corn,1,1,2020
2,Canada,13,Corn,1,1,2020
3,Western Europe,13,Corn,1,1,2020
6,Former Soviet Union,13,Corn,1,1,2020
7,China,13,Corn,1,1,2020
10,Latin America,13,Corn,1,1,2020
11,Southeast Asia,13,Corn,1,1,2020
14,India,13,Corn,1,1,2020
1,USA,14,Corn,1,1,2020
2,Canada,14,Corn,1,1,2020
3,Western Europe,14,Corn,1,1,2020
6,Former Soviet Union,14,Corn,1,1,2020
7,China,14,Corn,1,1,2020
10,Latin America,14,Corn,1,1,2020
11,Southeast Asia,14,Corn,1,1,2020
14,India,14,Corn,1,1,2020
1,USA,15,Corn,1,1,2020
2,Canada,15,Corn,1,1,2020
3,Western Europe,15,Corn,1,1,2020
4,Japan,15,Corn,1,1,2020
5,Australia_NZ,15,Corn,1,1,2020
6,Former Soviet Union,15,Corn,1,1,2020
7,China,15,Corn,1,1,2020
10,Latin America,15,Corn,1,1,2020
11,Southeast Asia,15,Corn,1,1,2020
12,Eastern Europe,15,Corn,1,1,2020
14,India,15,Corn,1,1,2020
1,USA,16,Corn,1,1,2020
2,Canada,16,Corn,1,1,2020
3,Western Europe,16,Corn,1,1,2020
5,Australia_NZ,16,Corn,1,1,2020
6,Former Soviet Union,16,Corn,1,1,2020
7,China,16,Corn,1,1,2020
10,Latin America,16,Corn,1,1,2020
11,Southeast Asia,16,Corn,1,1,2020
12,Eastern Europe,16,Corn,1,1,2020
14,India,16,Corn,1,1,2020
5,Australia_NZ,17,Corn,1,1,2020
7,China,17,Corn,1,1,2020
10,Latin America,17,Corn,1,1,2020
10,Latin America,18,Corn,1,1,2020
5,Australia_NZ,1,eucalyptus,1,1,2020
8,Middle East,1,eucalyptus,1,1,2020
9,Africa,1,eucalyptus,1,1,2020
10,Latin America,1,eucalyptus,1,1,2020
11,Southeast Asia,1,eucalyptus,1,1,2020
14,India,1,eucalyptus,1,1,2020
5,Australia_NZ,2,eucalyptus,1,1,2020
9,Africa,2,eucalyptus,1,1,2020
10,Latin America,2,eucalyptus,1,1,2020
14,India,2,eucalyptus,1,1,2020
5,Australia_NZ,3,eucalyptus,1,1,2020
9,Africa,3,eucalyptus,1,1,2020
10,Latin America,3,eucalyptus,1,1,2020
11,Southeast Asia,3,eucalyptus,1,1,2020
14,India,3,eucalyptus,1,1,2020
5,Australia_NZ,4,eucalyptus,1,1,2020
7,China,4,eucalyptus,1,1,2020
9,Africa,4,eucalyptus,1,1,2020
10,Latin America,4,eucalyptus,1,1,2020
11,Southeast Asia,4,eucalyptus,1,1,2020
14,India,4,eucalyptus,1,1,2020
5,Australia_NZ,5,eucalyptus,1,1,2020
7,China,5,eucalyptus,1,1,2020
9,Africa,5,eucalyptus,1,1,2020
10,Latin America,5,eucalyptus,1,1,2020
11,Southeast Asia,5,eucalyptus,1,1,2020
14,India,5,eucalyptus,1,1,2020
5,Australia_NZ,6,eucalyptus,1,1,2020
7,China,6,eucalyptus,1,1,2020
9,Africa,6,eucalyptus,1,1,2020
10,Latin America,6,eucalyptus,1,1,2020
11,Southeast Asia,6,eucalyptus,1,1,2020
14,India,6,eucalyptus,1,1,2020
5,Australia_NZ,7,eucalyptus,1,1,2020
8,Middle East,7,eucalyptus,1,1,2020
9,Africa,7,eucalyptus,1,1,2020
10,Latin America,7,eucalyptus,1,1,2020
11,Southeast Asia,7,eucalyptus,1,1,2020
14,India,7,eucalyptus,1,1,2020
5,Australia_NZ,8,eucalyptus,1,1,2020
9,Africa,8,eucalyptus,1,1,2020
10,Latin America,8,eucalyptus,1,1,2020
11,Southeast Asia,8,eucalyptus,1,1,2020
14,India,8,eucalyptus,1,1,2020
5,Australia_NZ,9,eucalyptus,1,1,2020
9,Africa,9,eucalyptus,1,1,2020
10,Latin America,9,eucalyptus,1,1,2020
14,India,9,eucalyptus,1,1,2020
1,USA,10,eucalyptus,1,1,2020
5,Australia_NZ,10,eucalyptus,1,1,2020
7,China,10,eucalyptus,1,1,2020
9,Africa,10,eucalyptus,1,1,2020
10,Latin America,10,eucalyptus,1,1,2020
11,Southeast Asia,10,eucalyptus,1,1,2020
14,India,10,eucalyptus,1,1,2020
1,USA,11,eucalyptus,1,1,2020
5,Australia_NZ,11,eucalyptus,1,1,2020
7,China,11,eucalyptus,1,1,2020
9,Africa,11,eucalyptus,1,1,2020
10,Latin America,11,eucalyptus,1,1,2020
11,Southeast Asia,11,eucalyptus,1,1,2020
14,India,11,eucalyptus,1,1,2020
1,USA,12,eucalyptus,1,1,2020
5,Australia_NZ,12,eucalyptus,1,1,2020
7,China,12,eucalyptus,1,1,2020
9,Africa,12,eucalyptus,1,1,2020
10,Latin America,12,eucalyptus,1,1,2020
11,Southeast Asia,12,eucalyptus,1,1,2020
14,India,12,eucalyptus,1,1,2020
7,China,13,eucalyptus,1,1,2020
10,Latin America,13,eucalyptus,1,1,2020
11,Southeast Asia,13,eucalyptus,1,1,2020
14,India,13,eucalyptus,1,1,2020
7,China,14,eucalyptus,1,1,2020
10,Latin America,14,eucalyptus,1,1,2020
11,Southeast Asia,14,eucalyptus,1,1,2020
14,India,14,eucalyptus,1,1,2020
7,China,15,eucalyptus,1,1,2020
10,Latin America,15,eucalyptus,1,1,2020
11,Southeast Asia,15,eucalyptus,1,1,2020
14,India,15,eucalyptus,1,1,2020
7,China,16,eucalyptus,1,1,2020
10,Latin America,16,eucalyptus,1,1,2020
11,Southeast Asia,16,eucalyptus,1,1,2020
14,India,16,eucalyptus,1,1,2020
10,Latin America,17,eucalyptus,1,1,2020
10,Latin America,18,eucalyptus,1,1,2020
5,Australia_NZ,1,FiberCrop,1,1,2020
8,Middle East,1,FiberCrop,1,1,2020
9,Africa,1,FiberCrop,1,1,2020
10,Latin America,1,FiberCrop,1,1,2020
11,Southeast Asia,1,FiberCrop,1,1,2020
14,India,1,FiberCrop,1,1,2020
5,Australia_NZ,2,FiberCrop,1,1,2020
8,Middle East,2,FiberCrop,1,1,2020
9,Africa,2,FiberCrop,1,1,2020
10,Latin America,2,FiberCrop,1,1,2020
14,India,2,FiberCrop,1,1,2020
5,Australia_NZ,3,FiberCrop,1,1,2020
8,Middle East,3,FiberCrop,1,1,2020
9,Africa,3,FiberCrop,1,1,2020
10,Latin America,3,FiberCrop,1,1,2020
11,Southeast Asia,3,FiberCrop,1,1,2020
14,India,3,FiberCrop,1,1,2020
3,Western Europe,4,FiberCrop,1,1,2020
5,Australia_NZ,4,FiberCrop,1,1,2020
7,China,4,FiberCrop,1,1,2020
9,Africa,4,FiberCrop,1,1,2020
10,Latin America,4,FiberCrop,1,1,2020
11,Southeast Asia,4,FiberCrop,1,1,2020
14,India,4,FiberCrop,1,1,2020
5,Australia_NZ,5,FiberCrop,1,1,2020
7,China,5,FiberCrop,1,1,2020
9,Africa,5,FiberCrop,1,1,2020
10,Latin America,5,FiberCrop,1,1,2020
11,Southeast Asia,5,FiberCrop,1,1,2020
14,India,5,FiberCrop,1,1,2020
5,Australia_NZ,6,FiberCrop,1,1,2020
7,China,6,FiberCrop,1,1,2020
9,Africa,6,FiberCrop,1,1,2020
10,Latin America,6,FiberCrop,1,1,2020
11,Southeast Asia,6,FiberCrop,1,1,2020
14,India,6,FiberCrop,1,1,2020
1,USA,7,FiberCrop,1,1,2020
2,Canada,7,FiberCrop,1,1,2020
3,Western Europe,7,FiberCrop,1,1,2020
5,Australia_NZ,7,FiberCrop,1,1,2020
6,Former Soviet Union,7,FiberCrop,1,1,2020
7,China,7,FiberCrop,1,1,2020
8,Middle East,7,FiberCrop,1,1,2020
9,Africa,7,FiberCrop,1,1,2020
10,Latin America,7,FiberCrop,1,1,2020
11,Southeast Asia,7,FiberCrop,1,1,2020
14,India,7,FiberCrop,1,1,2020
1,USA,8,FiberCrop,1,1,2020
2,Canada,8,FiberCrop,1,1,2020
3,Western Europe,8,FiberCrop,1,1,2020
5,Australia_NZ,8,FiberCrop,1,1,2020
6,Former Soviet Union,8,FiberCrop,1,1,2020
7,China,8,FiberCrop,1,1,2020
8,Middle East,8,FiberCrop,1,1,2020
9,Africa,8,FiberCrop,1,1,2020
10,Latin America,8,FiberCrop,1,1,2020
11,Southeast Asia,8,FiberCrop,1,1,2020
12,Eastern Europe,8,FiberCrop,1,1,2020
14,India,8,FiberCrop,1,1,2020
1,USA,9,FiberCrop,1,1,2020
2,Canada,9,FiberCrop,1,1,2020
3,Western Europe,9,FiberCrop,1,1,2020
4,Japan,9,FiberCrop,1,1,2020
5,Australia_NZ,9,FiberCrop,1,1,2020
6,Former Soviet Union,9,FiberCrop,1,1,2020
7,China,9,FiberCrop,1,1,2020
8,Middle East,9,FiberCrop,1,1,2020
9,Africa,9,FiberCrop,1,1,2020
10,Latin America,9,FiberCrop,1,1,2020
11,Southeast Asia,9,FiberCrop,1,1,2020
12,Eastern Europe,9,FiberCrop,1,1,2020
14,India,9,FiberCrop,1,1,2020
1,USA,10,FiberCrop,1,1,2020
2,Canada,10,FiberCrop,1,1,2020
3,Western Europe,10,FiberCrop,1,1,2020
4,Japan,10,FiberCrop,1,1,2020
5,Australia_NZ,10,FiberCrop,1,1,2020
6,Former Soviet Union,10,FiberCrop,1,1,2020
7,China,10,FiberCrop,1,1,2020
8,Middle East,10,FiberCrop,1,1,2020
9,Africa,10,FiberCrop,1,1,2020
10,Latin America,10,FiberCrop,1,1,2020
11,Southeast Asia,10,FiberCrop,1,1,2020
12,Eastern Europe,10,FiberCrop,1,1,2020
13,Korea,10,FiberCrop,1,1,2020
14,India,10,FiberCrop,1,1,2020
1,USA,11,FiberCrop,1,1,2020
2,Canada,11,FiberCrop,1,1,2020
3,Western Europe,11,FiberCrop,1,1,2020
4,Japan,11,FiberCrop,1,1,2020
5,Australia_NZ,11,FiberCrop,1,1,2020
6,Former Soviet Union,11,FiberCrop,1,1,2020
7,China,11,FiberCrop,1,1,2020
9,Africa,11,FiberCrop,1,1,2020
10,Latin America,11,FiberCrop,1,1,2020
11,Southeast Asia,11,FiberCrop,1,1,2020
12,Eastern Europe,11,FiberCrop,1,1,2020
13,Korea,11,FiberCrop,1,1,2020
14,India,11,FiberCrop,1,1,2020
1,USA,12,FiberCrop,1,1,2020
3,Western Europe,12,FiberCrop,1,1,2020
4,Japan,12,FiberCrop,1,1,2020
5,Australia_NZ,12,FiberCrop,1,1,2020
6,Former Soviet Union,12,FiberCrop,1,1,2020
7,China,12,FiberCrop,1,1,2020
9,Africa,12,FiberCrop,1,1,2020
10,Latin America,12,FiberCrop,1,1,2020
11,Southeast Asia,12,FiberCrop,1,1,2020
12,Eastern Europe,12,FiberCrop,1,1,2020
14,India,12,FiberCrop,1,1,2020
1,USA,13,FiberCrop,1,1,2020
2,Canada,13,FiberCrop,1,1,2020
3,Western Europe,13,FiberCrop,1,1,2020
6,Former Soviet Union,13,FiberCrop,1,1,2020
7,China,13,FiberCrop,1,1,2020
10,Latin America,13,FiberCrop,1,1,2020
11,Southeast Asia,13,FiberCrop,1,1,2020
14,India,13,FiberCrop,1,1,2020
1,USA,14,FiberCrop,1,1,2020
2,Canada,14,FiberCrop,1,1,2020
3,Western Europe,14,FiberCrop,1,1,2020
6,Former Soviet Union,14,FiberCrop,1,1,2020
7,China,14,FiberCrop,1,1,2020
10,Latin America,14,FiberCrop,1,1,2020
11,Southeast Asia,14,FiberCrop,1,1,2020
14,India,14,FiberCrop,1,1,2020
1,USA,15,FiberCrop,1,1,2020
2,Canada,15,FiberCrop,1,1,2020
3,Western Europe,15,FiberCrop,1,1,2020
4,Japan,15,FiberCrop,1,1,2020
5,Australia_NZ,15,FiberCrop,1,1,2020
6,Former Soviet Union,15,FiberCrop,1,1,2020
7,China,15,FiberCrop,1,1,2020
10,Latin America,15,FiberCrop,1,1,2020
11,Southeast Asia,15,FiberCrop,1,1,2020
12,Eastern Europe,15,FiberCrop,1,1,2020
14,India,15,FiberCrop,1,1,2020
1,USA,16,FiberCrop,1,1,2020
2,Canada,16,FiberCrop,1,1,2020
3,Western Europe,16,FiberCrop,1,1,2020
5,Australia_NZ,16,FiberCrop,1,1,2020
6,Former Soviet Union,16,FiberCrop,1,1,2020
7,China,16,FiberCrop,1,1,2020
10,Latin America,16,FiberCrop,1,1,2020
11,Southeast Asia,16,FiberCrop,1,1,2020
12,Eastern Europe,16,FiberCrop,1,1,2020
14,India,16,FiberCrop,1,1,2020
5,Australia_NZ,17,FiberCrop,1,1,2020
7,China,17,FiberCrop,1,1,2020
10,Latin America,17,FiberCrop,1,1,2020
10,Latin America,18,FiberCrop,1,1,2020
5,Australia_NZ,1,FodderGrass,1,1,2020
8,Middle East,1,FodderGrass,1,1,2020
9,Africa,1,FodderGrass,1,1,2020
10,Latin America,1,FodderGrass,1,1,2020
11,Southeast Asia,1,FodderGrass,1,1,2020
14,India,1,FodderGrass,1,1,2020
5,Australia_NZ,2,FodderGrass,1,1,2020
8,Middle East,2,FodderGrass,1,1,2020
9,Africa,2,FodderGrass,1,1,2020
10,Latin America,2,FodderGrass,1,1,2020
14,India,2,FodderGrass,1,1,2020
5,Australia_NZ,3,FodderGrass,1,1,2020
8,Middle East,3,FodderGrass,1,1,2020
9,Africa,3,FodderGrass,1,1,2020
10,Latin America,3,FodderGrass,1,1,2020
11,Southeast Asia,3,FodderGrass,1,1,2020
14,India,3,FodderGrass,1,1,2020
3,Western Europe,4,FodderGrass,1,1,2020
5,Australia_NZ,4,FodderGrass,1,1,2020
7,China,4,FodderGrass,1,1,2020
9,Africa,4,FodderGrass,1,1,2020
10,Latin America,4,FodderGrass,1,1,2020
11,Southeast Asia,4,FodderGrass,1,1,2020
14,India,4,FodderGrass,1,1,2020
5,Australia_NZ,5,FodderGrass,1,1,2020
7,China,5,FodderGrass,1,1,2020
9,Africa,5,FodderGrass,1,1,2020
10,Latin America,5,FodderGrass,1,1,2020
11,Southeast Asia,5,FodderGrass,1,1,2020
14,India,5,FodderGrass,1,1,2020
5,Australia_NZ,6,FodderGrass,1,1,2020
7,China,6,FodderGrass,1,1,2020
9,Africa,6,FodderGrass,1,1,2020
10,Latin America,6,FodderGrass,1,1,2020
11,Southeast Asia,6,FodderGrass,1,1,2020
14,India,6,FodderGrass,1,1,2020
1,USA,7,FodderGrass,1,1,2020
2,Canada,7,FodderGrass,1,1,2020
3,Western Europe,7,FodderGrass,1,1,2020
5,Australia_NZ,7,FodderGrass,1,1,2020
6,Former Soviet Union,7,FodderGrass,1,1,2020
7,China,7,FodderGrass,1,1,2020
8,Middle East,7,FodderGrass,1,1,2020
9,Africa,7,FodderGrass,1,1,2020
10,Latin America,7,FodderGrass,1,1,2020
11,Southeast Asia,7,FodderGrass,1,1,2020
14,India,7,FodderGrass,1,1,2020
1,USA,8,FodderGrass,1,1,2020
2,Canada,8,FodderGrass,1,1,2020
3,Western Europe,8,FodderGrass,1,1,2020
5,Australia_NZ,8,FodderGrass,1,1,2020
6,Former Soviet Union,8,FodderGrass,1,1,2020
7,China,8,FodderGrass,1,1,2020
8,Middle East,8,FodderGrass,1,1,2020
9,Africa,8,FodderGrass,1,1,2020
10,Latin America,8,FodderGrass,1,1,2020
11,Southeast Asia,8,FodderGrass,1,1,2020
12,Eastern Europe,8,FodderGrass,1,1,2020
14,India,8,FodderGrass,1,1,2020
1,USA,9,FodderGrass,1,1,2020
2,Canada,9,FodderGrass,1,1,2020
3,Western Europe,9,FodderGrass,1,1,2020
4,Japan,9,FodderGrass,1,1,2020
5,Australia_NZ,9,FodderGrass,1,1,2020
6,Former Soviet Union,9,FodderGrass,1,1,2020
7,China,9,FodderGrass,1,1,2020
8,Middle East,9,FodderGrass,1,1,2020
9,Africa,9,FodderGrass,1,1,2020
10,Latin America,9,FodderGrass,1,1,2020
11,Southeast Asia,9,FodderGrass,1,1,2020
12,Eastern Europe,9,FodderGrass,1,1,2020
14,India,9,FodderGrass,1,1,2020
1,USA,10,FodderGrass,1,1,2020
2,Canada,10,FodderGrass,1,1,2020
3,Western Europe,10,FodderGrass,1,1,2020
4,Japan,10,FodderGrass,1,1,2020
5,Australia_NZ,10,FodderGrass,1,1,2020
6,Former Soviet Union,10,FodderGrass,1,1,2020
7,China,10,FodderGrass,1,1,2020
8,Middle East,10,FodderGrass,1,1,2020
9,Africa,10,FodderGrass,1,1,2020
10,Latin America,10,FodderGrass,1,1,2020
11,Southeast Asia,10,FodderGrass,1,1,2020
12,Eastern Europe,10,FodderGrass,1,1,2020
13,Korea,10,FodderGrass,1,1,2020
14,India,10,FodderGrass,1,1,2020
1,USA,11,FodderGrass,1,1,2020
2,Canada,11,FodderGrass,1,1,2020
3,Western Europe,11,FodderGrass,1,1,2020
4,Japan,11,FodderGrass,1,1,2020
5,Australia_NZ,11,FodderGrass,1,1,2020
6,Former Soviet Union,11,FodderGrass,1,1,2020
7,China,11,FodderGrass,1,1,2020
9,Africa,11,FodderGrass,1,1,2020
10,Latin America,11,FodderGrass,1,1,2020
11,Southeast Asia,11,FodderGrass,1,1,2020
12,Eastern Europe,11,FodderGrass,1,1,2020
13,Korea,11,FodderGrass,1,1,2020
14,India,11,FodderGrass,1,1,2020
1,USA,12,FodderGrass,1,1,2020
3,Western Europe,12,FodderGrass,1,1,2020
4,Japan,12,FodderGrass,1,1,2020
5,Australia_NZ,12,FodderGrass,1,1,2020
